geoName	geoCode	term	interest
Little Rock-Pine Bluff AR	693	defund the police	32
Los Angeles CA	803	defund the police	36
Louisville KY	529	defund the police	30
Lubbock TX	651	defund the police	23
Macon GA	503	defund the police	32
Madison WI	669	defund the police	38
Mankato MN	737	defund the police	21
Marquette MI	553	defund the police	42
Medford-Klamath Falls OR	813	defund the police	43
Memphis TN	640	defund the police	30
Meridian MS	711	defund the police	0
Miami-Ft. Lauderdale FL	528	defund the police	28
Milwaukee WI	617	defund the police	45
Minneapolis-St. Paul MN	613	defund the police	39
Minot-Bismarck-Dickinson(Williston) ND	687	defund the police	28
Missoula MT	762	defund the police	34
Mobile AL-Pensacola (Ft. Walton Beach) FL	686	defund the police	27
Monroe LA-El Dorado AR	628	defund the police	28
Monterey-Salinas CA	828	defund the police	39
Montgomery (Selma) AL	698	defund the police	30
Nashville TN	659	defund the police	35
New Orleans LA	622	defund the police	30
New York NY	501	defund the police	36
Norfolk-Portsmouth-Newport News VA	544	defund the police	35
North Platte NE	740	defund the police	0
Odessa-Midland TX	633	defund the police	30
Oklahoma City OK	650	defund the police	27
Omaha NE	652	defund the police	32
Orlando-Daytona Beach-Melbourne FL	534	defund the police	32
Ottumwa IA-Kirksville MO	631	defund the police	31
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL	632	defund the police	35
Palm Springs CA	804	defund the police	42
Panama City FL	656	defund the police	33
Parkersburg WV	597	defund the police	36
Peoria-Bloomington IL	675	defund the police	42
Philadelphia PA	504	defund the police	39
Phoenix AZ	753	defund the police	35
Pittsburgh PA	508	defund the police	40
Portland OR	820	defund the police	36
Portland-Auburn ME	500	defund the police	37
Presque Isle ME	552	defund the police	0
Providence RI-New Bedford MA	521	defund the police	39
Quincy IL-Hannibal MO-Keokuk IA	717	defund the police	44
Raleigh-Durham (Fayetteville) NC	560	defund the police	36
Rapid City SD	764	defund the police	35
Reno NV	811	defund the police	36
Richmond-Petersburg VA	556	defund the police	38
Roanoke-Lynchburg VA	573	defund the police	25
Rochester MN-Mason City IA-Austin MN	611	defund the police	25
Rochester NY	538	defund the police	37
Rockford IL	610	defund the police	41
Sacramento-Stockton-Modesto CA	862	defund the police	36
Salisbury MD	576	defund the police	44
Salt Lake City UT	770	defund the police	35
San Angelo TX	661	defund the police	28
San Antonio TX	641	defund the police	31
San Diego CA	825	defund the police	33
San Francisco-Oakland-San Jose CA	807	defund the police	32
Santa Barbara-Santa Maria-San Luis Obispo CA	855	defund the police	37
Savannah GA	507	defund the police	36
Seattle-Tacoma WA	819	defund the police	41
Sherman TX-Ada OK	657	defund the police	16
Shreveport LA	612	defund the police	27
Sioux City IA	624	defund the police	25
Sioux Falls(Mitchell) SD	725	defund the police	29
South Bend-Elkhart IN	588	defund the police	39
Spokane WA	881	defund the police	41
Springfield MO	619	defund the police	34
Springfield-Holyoke MA	543	defund the police	42
St. Joseph MO	638	defund the police	31
St. Louis MO	609	defund the police	40
Syracuse NY	555	defund the police	37
Tallahassee FL-Thomasville GA	530	defund the police	30
Tampa-St. Petersburg (Sarasota) FL	539	defund the police	34
Terre Haute IN	581	defund the police	39
Toledo OH	547	defund the police	34
Topeka KS	605	defund the police	25
Traverse City-Cadillac MI	540	defund the police	47
Tri-Cities TN-VA	531	defund the police	32
Tucson (Sierra Vista) AZ	789	defund the police	35
Tulsa OK	671	defund the police	27
Twin Falls ID	760	defund the police	31
Tyler-Longview(Lufkin & Nacogdoches) TX	709	defund the police	33
Utica NY	526	defund the police	32
Victoria TX	626	defund the police	43
Waco-Temple-Bryan TX	625	defund the police	29
Washington DC (Hagerstown MD)	511	defund the police	36
Watertown NY	549	defund the police	31
Wausau-Rhinelander WI	705	defund the police	42
West Palm Beach-Ft. Pierce FL	548	defund the police	33
Wheeling WV-Steubenville OH	554	defund the police	36
Wichita Falls TX & Lawton OK	627	defund the police	31
Wichita-Hutchinson KS	678	defund the police	28
Wilkes Barre-Scranton PA	577	defund the police	41
Wilmington NC	550	defund the police	42
Yakima-Pasco-Richland-Kennewick WA	810	defund the police	41
Youngstown OH	536	defund the police	33
Yuma AZ-El Centro CA	771	defund the police	25
Zanesville OH	596	defund the police	0
Abilene-Sweetwater TX	662	police accountability	0
Albany GA	525	police accountability	0
Albany-Schenectady-Troy NY	532	police accountability	12
Albuquerque-Santa Fe NM	790	police accountability	8
Alexandria LA	644	police accountability	0
Alpena MI	583	police accountability	0
Amarillo TX	634	police accountability	0
Anchorage AK	743	police accountability	0
Atlanta GA	524	police accountability	6
Augusta GA	520	police accountability	6
Austin TX	635	police accountability	9
Bakersfield CA	800	police accountability	9
Baltimore MD	512	police accountability	27
Bangor ME	537	police accountability	0
Baton Rouge LA	716	police accountability	9
Beaumont-Port Arthur TX	692	police accountability	15
Bend OR	821	police accountability	0
Billings, MT	756	police accountability	18
Biloxi-Gulfport MS	746	police accountability	0
Binghamton NY	502	police accountability	0
Birmingham AL	630	police accountability	6
Bluefield-Beckley-Oak Hill WV	559	police accountability	0
Boise ID	757	police accountability	19
Boston MA-Manchester NH	506	police accountability	12
Bowling Green KY	736	police accountability	0
Buffalo NY	514	police accountability	12
Burlington VT-Plattsburgh NY	523	police accountability	11
Butte-Bozeman MT	754	police accountability	0
Casper-Riverton WY	767	police accountability	0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA	637	police accountability	6
Champaign & Springfield-Decatur IL	648	police accountability	12
Charleston SC	519	police accountability	5
Charleston-Huntington WV	564	police accountability	6
Charlotte NC	517	police accountability	6
Charlottesville VA	584	police accountability	0
Chattanooga TN	575	police accountability	0
Cheyenne WY-Scottsbluff NE	759	police accountability	0
Chicago IL	602	police accountability	25
Chico-Redding CA	868	police accountability	10
Cincinnati OH	515	police accountability	6
Clarksburg-Weston WV	598	police accountability	0
Cleveland-Akron (Canton) OH	510	police accountability	6
Colorado Springs-Pueblo CO	752	police accountability	17
Columbia SC	546	police accountability	10
Columbia-Jefferson City MO	604	police accountability	13
Columbus GA	522	police accountability	0
Columbus OH	535	police accountability	8
Columbus-Tupelo-West Point MS	673	police accountability	0
Corpus Christi TX	600	police accountability	0
Dallas-Ft. Worth TX	623	police accountability	7
Davenport IA-Rock Island-Moline IL	682	police accountability	10
Dayton OH	542	police accountability	9
Denver CO	751	police accountability	13
Des Moines-Ames IA	679	police accountability	4
Detroit MI	505	police accountability	6
Dothan AL	606	police accountability	0
Duluth MN-Superior WI	676	police accountability	0
El Paso TX	765	police accountability	8
Elmira NY	565	police accountability	0
Erie PA	516	police accountability	0
Eugene OR	801	police accountability	8
Eureka CA	802	police accountability	0
Evansville IN	649	police accountability	0
Fairbanks AK	745	police accountability	0
Fargo-Valley City ND	724	police accountability	9
Flint-Saginaw-Bay City MI	513	police accountability	5
Florence-Myrtle Beach SC	570	police accountability	6
Fresno-Visalia CA	866	police accountability	7
Ft. Myers-Naples FL	571	police accountability	5
Ft. Smith-Fayetteville-Springdale-Rogers AR	670	police accountability	5
Ft. Wayne IN	509	police accountability	0
Gainesville FL	592	police accountability	0
Glendive MT	798	police accountability	0
Grand Junction-Montrose CO	773	police accountability	0
Grand Rapids-Kalamazoo-Battle Creek MI	563	police accountability	5
Great Falls MT	755	police accountability	0
Green Bay-Appleton WI	658	police accountability	6
Greensboro-High Point-Winston Salem NC	518	police accountability	8
Greenville-New Bern-Washington NC	545	police accountability	6
Greenville-Spartanburg SC-Asheville NC-Anderson SC	567	police accountability	4
Greenwood-Greenville MS	647	police accountability	0
Harlingen-Weslaco-Brownsville-McAllen TX	636	police accountability	10
Harrisburg-Lancaster-Lebanon-York PA	566	police accountability	7
Harrisonburg VA	569	police accountability	0
Hartford & New Haven CT	533	police accountability	69
Hattiesburg-Laurel MS	710	police accountability	0
Helena MT	766	police accountability	0
Honolulu HI	744	police accountability	6
Houston TX	618	police accountability	5
Huntsville-Decatur (Florence) AL	691	police accountability	6
Idaho Falls-Pocatello ID	758	police accountability	0
Indianapolis IN	527	police accountability	7
Jackson MS	718	police accountability	0
Jackson TN	639	police accountability	0
Jacksonville FL	561	police accountability	6
Johnstown-Altoona PA	574	police accountability	9
Jonesboro AR	734	police accountability	0
Joplin MO-Pittsburg KS	603	police accountability	0
Juneau AK	747	police accountability	0
Kansas City MO	616	police accountability	7
Knoxville TN	557	police accountability	5
La Crosse-Eau Claire WI	702	police accountability	0
Lafayette IN	582	police accountability	0
Lafayette LA	642	police accountability	0
Lake Charles LA	643	police accountability	0
Lansing MI	551	police accountability	11
Laredo TX	749	police accountability	0
Las Vegas NV	839	police accountability	7
Lexington KY	541	police accountability	5
Lima OH	558	police accountability	0
Lincoln & Hastings-Kearney NE	722	police accountability	0
Little Rock-Pine Bluff AR	693	police accountability	5
Los Angeles CA	803	police accountability	7
Louisville KY	529	police accountability	8
Lubbock TX	651	police accountability	0
Macon GA	503	police accountability	0
Madison WI	669	police accountability	11
Mankato MN	737	police accountability	0
Marquette MI	553	police accountability	0
Medford-Klamath Falls OR	813	police accountability	0
Memphis TN	640	police accountability	6
Meridian MS	711	police accountability	0
Miami-Ft. Lauderdale FL	528	police accountability	5
Milwaukee WI	617	police accountability	8
Minneapolis-St. Paul MN	613	police accountability	10
Minot-Bismarck-Dickinson(Williston) ND	687	police accountability	0
Missoula MT	762	police accountability	0
Mobile AL-Pensacola (Ft. Walton Beach) FL	686	police accountability	5
Monroe LA-El Dorado AR	628	police accountability	0
Monterey-Salinas CA	828	police accountability	10
Montgomery (Selma) AL	698	police accountability	0
Nashville TN	659	police accountability	5
New Orleans LA	622	police accountability	7
New York NY	501	police accountability	10
Norfolk-Portsmouth-Newport News VA	544	police accountability	8
North Platte NE	740	police accountability	0
Odessa-Midland TX	633	police accountability	0
Oklahoma City OK	650	police accountability	6
Omaha NE	652	police accountability	6
Orlando-Daytona Beach-Melbourne FL	534	police accountability	6
Ottumwa IA-Kirksville MO	631	police accountability	0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL	632	police accountability	7
Palm Springs CA	804	police accountability	0
Panama City FL	656	police accountability	0
Parkersburg WV	597	police accountability	0
Peoria-Bloomington IL	675	police accountability	9
Philadelphia PA	504	police accountability	9
Phoenix AZ	753	police accountability	10
Pittsburgh PA	508	police accountability	17
Portland OR	820	police accountability	12
Portland-Auburn ME	500	police accountability	6
Presque Isle ME	552	police accountability	0
Providence RI-New Bedford MA	521	police accountability	10
Quincy IL-Hannibal MO-Keokuk IA	717	police accountability	0
Raleigh-Durham (Fayetteville) NC	560	police accountability	10
Rapid City SD	764	police accountability	0
Reno NV	811	police accountability	8
Richmond-Petersburg VA	556	police accountability	10
Roanoke-Lynchburg VA	573	police accountability	7
Rochester MN-Mason City IA-Austin MN	611	police accountability	0
Rochester NY	538	police accountability	100
Rockford IL	610	police accountability	0
Sacramento-Stockton-Modesto CA	862	police accountability	12
Salisbury MD	576	police accountability	21
Salt Lake City UT	770	police accountability	6
San Angelo TX	661	police accountability	0
San Antonio TX	641	police accountability	8
San Diego CA	825	police accountability	7
San Francisco-Oakland-San Jose CA	807	police accountability	17
Santa Barbara-Santa Maria-San Luis Obispo CA	855	police accountability	8
Savannah GA	507	police accountability	4
Seattle-Tacoma WA	819	police accountability	28
Sherman TX-Ada OK	657	police accountability	0
Shreveport LA	612	police accountability	9
Sioux City IA	624	police accountability	0
Sioux Falls(Mitchell) SD	725	police accountability	0
South Bend-Elkhart IN	588	police accountability	17
Spokane WA	881	police accountability	13
Springfield MO	619	police accountability	9
Springfield-Holyoke MA	543	police accountability	15
St. Joseph MO	638	police accountability	0
St. Louis MO	609	police accountability	7
Syracuse NY	555	police accountability	16
Tallahassee FL-Thomasville GA	530	police accountability	11
Tampa-St. Petersburg (Sarasota) FL	539	police accountability	5
Terre Haute IN	581	police accountability	0
Toledo OH	547	police accountability	6
Topeka KS	605	police accountability	0
Traverse City-Cadillac MI	540	police accountability	9
Tri-Cities TN-VA	531	police accountability	0
Tucson (Sierra Vista) AZ	789	police accountability	12
Tulsa OK	671	police accountability	4
Twin Falls ID	760	police accountability	0
Tyler-Longview(Lufkin & Nacogdoches) TX	709	police accountability	0
Utica NY	526	police accountability	25
Victoria TX	626	police accountability	0
Waco-Temple-Bryan TX	625	police accountability	7
Washington DC (Hagerstown MD)	511	police accountability	17
Watertown NY	549	police accountability	0
Wausau-Rhinelander WI	705	police accountability	0
West Palm Beach-Ft. Pierce FL	548	police accountability	6
Wheeling WV-Steubenville OH	554	police accountability	0
Wichita Falls TX & Lawton OK	627	police accountability	0
Wichita-Hutchinson KS	678	police accountability	4
Wilkes Barre-Scranton PA	577	police accountability	6
Wilmington NC	550	police accountability	9
Yakima-Pasco-Richland-Kennewick WA	810	police accountability	10
Youngstown OH	536	police accountability	0
Yuma AZ-El Centro CA	771	police accountability	0
Zanesville OH	596	police accountability	0
Abilene-Sweetwater TX	662	police reform	18
Albany GA	525	police reform	42
Albany-Schenectady-Troy NY	532	police reform	76
Albuquerque-Santa Fe NM	790	police reform	43
Alexandria LA	644	police reform	27
Alpena MI	583	police reform	0
Amarillo TX	634	police reform	34
Anchorage AK	743	police reform	21
Atlanta GA	524	police reform	34
Augusta GA	520	police reform	29
Austin TX	635	police reform	36
Bakersfield CA	800	police reform	36
Baltimore MD	512	police reform	65
Bangor ME	537	police reform	31
Baton Rouge LA	716	police reform	39
Beaumont-Port Arthur TX	692	police reform	32
Bend OR	821	police reform	35
Billings, MT	756	police reform	27
Biloxi-Gulfport MS	746	police reform	40
Binghamton NY	502	police reform	68
Birmingham AL	630	police reform	45
Bluefield-Beckley-Oak Hill WV	559	police reform	27
Boise ID	757	police reform	31
Boston MA-Manchester NH	506	police reform	82
Bowling Green KY	736	police reform	0
Buffalo NY	514	police reform	49
Burlington VT-Plattsburgh NY	523	police reform	48
Butte-Bozeman MT	754	police reform	42
Casper-Riverton WY	767	police reform	39
Cedar Rapids-Waterloo-Iowa City & Dubuque IA	637	police reform	37
Champaign & Springfield-Decatur IL	648	police reform	100
Charleston SC	519	police reform	34
Charleston-Huntington WV	564	police reform	30
Charlotte NC	517	police reform	31
Charlottesville VA	584	police reform	53
Chattanooga TN	575	police reform	24
Cheyenne WY-Scottsbluff NE	759	police reform	0
Chicago IL	602	police reform	58
Chico-Redding CA	868	police reform	46
Cincinnati OH	515	police reform	34
Clarksburg-Weston WV	598	police reform	35
Cleveland-Akron (Canton) OH	510	police reform	37
Colorado Springs-Pueblo CO	752	police reform	51
Columbia SC	546	police reform	36
Columbia-Jefferson City MO	604	police reform	46
Columbus GA	522	police reform	42
Columbus OH	535	police reform	42
Columbus-Tupelo-West Point MS	673	police reform	42
Corpus Christi TX	600	police reform	33
Dallas-Ft. Worth TX	623	police reform	28
Davenport IA-Rock Island-Moline IL	682	police reform	67
Dayton OH	542	police reform	45
Denver CO	751	police reform	47
Des Moines-Ames IA	679	police reform	30
Detroit MI	505	police reform	36
Dothan AL	606	police reform	24
Duluth MN-Superior WI	676	police reform	43
El Paso TX	765	police reform	39
Elmira NY	565	police reform	64
Erie PA	516	police reform	47
Eugene OR	801	police reform	45
Eureka CA	802	police reform	27
Evansville IN	649	police reform	33
Fairbanks AK	745	police reform	0
Fargo-Valley City ND	724	police reform	32
Flint-Saginaw-Bay City MI	513	police reform	30
Florence-Myrtle Beach SC	570	police reform	26
Fresno-Visalia CA	866	police reform	44
Ft. Myers-Naples FL	571	police reform	32
Ft. Smith-Fayetteville-Springdale-Rogers AR	670	police reform	28
Ft. Wayne IN	509	police reform	35
Gainesville FL	592	police reform	43
Glendive MT	798	police reform	0
Grand Junction-Montrose CO	773	police reform	42
Grand Rapids-Kalamazoo-Battle Creek MI	563	police reform	33
Great Falls MT	755	police reform	0
Green Bay-Appleton WI	658	police reform	30
Greensboro-High Point-Winston Salem NC	518	police reform	38
Greenville-New Bern-Washington NC	545	police reform	31
Greenville-Spartanburg SC-Asheville NC-Anderson SC	567	police reform	38
Greenwood-Greenville MS	647	police reform	0
Harlingen-Weslaco-Brownsville-McAllen TX	636	police reform	32
Harrisburg-Lancaster-Lebanon-York PA	566	police reform	38
Harrisonburg VA	569	police reform	60
Hartford & New Haven CT	533	police reform	68
Hattiesburg-Laurel MS	710	police reform	24
Helena MT	766	police reform	0
Honolulu HI	744	police reform	26
Houston TX	618	police reform	32
Huntsville-Decatur (Florence) AL	691	police reform	34
Idaho Falls-Pocatello ID	758	police reform	23
Indianapolis IN	527	police reform	37
Jackson MS	718	police reform	25
Jackson TN	639	police reform	31
Jacksonville FL	561	police reform	41
Johnstown-Altoona PA	574	police reform	39
Jonesboro AR	734	police reform	34
Joplin MO-Pittsburg KS	603	police reform	37
Juneau AK	747	police reform	0
Kansas City MO	616	police reform	35
Knoxville TN	557	police reform	25
La Crosse-Eau Claire WI	702	police reform	35
Lafayette IN	582	police reform	59
Lafayette LA	642	police reform	27
Lake Charles LA	643	police reform	34
Lansing MI	551	police reform	43
Laredo TX	749	police reform	43
Las Vegas NV	839	police reform	32
Lexington KY	541	police reform	33
Lima OH	558	police reform	0
Lincoln & Hastings-Kearney NE	722	police reform	25
Little Rock-Pine Bluff AR	693	police reform	26
Los Angeles CA	803	police reform	38
Louisville KY	529	police reform	31
Lubbock TX	651	police reform	21
Macon GA	503	police reform	38
Madison WI	669	police reform	36
Mankato MN	737	police reform	42
Marquette MI	553	police reform	29
Medford-Klamath Falls OR	813	police reform	39
Memphis TN	640	police reform	34
Meridian MS	711	police reform	0
Miami-Ft. Lauderdale FL	528	police reform	33
Milwaukee WI	617	police reform	38
Minneapolis-St. Paul MN	613	police reform	52
Minot-Bismarck-Dickinson(Williston) ND	687	police reform	28
Missoula MT	762	police reform	21
Mobile AL-Pensacola (Ft. Walton Beach) FL	686	police reform	26
Monroe LA-El Dorado AR	628	police reform	35
Monterey-Salinas CA	828	police reform	50
Montgomery (Selma) AL	698	police reform	39
Nashville TN	659	police reform	31
New Orleans LA	622	police reform	34
New York NY	501	police reform	55
Norfolk-Portsmouth-Newport News VA	544	police reform	41
North Platte NE	740	police reform	0
Odessa-Midland TX	633	police reform	31
Oklahoma City OK	650	police reform	30
Omaha NE	652	police reform	29
Orlando-Daytona Beach-Melbourne FL	534	police reform	29
Ottumwa IA-Kirksville MO	631	police reform	0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL	632	police reform	50
Palm Springs CA	804	police reform	33
Panama City FL	656	police reform	28
Parkersburg WV	597	police reform	0
Peoria-Bloomington IL	675	police reform	97
Philadelphia PA	504	police reform	41
Phoenix AZ	753	police reform	35
Pittsburgh PA	508	police reform	38
Portland OR	820	police reform	46
Portland-Auburn ME	500	police reform	36
Presque Isle ME	552	police reform	0
Providence RI-New Bedford MA	521	police reform	56
Quincy IL-Hannibal MO-Keokuk IA	717	police reform	95
Raleigh-Durham (Fayetteville) NC	560	police reform	39
Rapid City SD	764	police reform	21
Reno NV	811	police reform	38
Richmond-Petersburg VA	556	police reform	46
Roanoke-Lynchburg VA	573	police reform	29
Rochester MN-Mason City IA-Austin MN	611	police reform	31
Rochester NY	538	police reform	46
Rockford IL	610	police reform	88
Sacramento-Stockton-Modesto CA	862	police reform	46
Salisbury MD	576	police reform	51
Salt Lake City UT	770	police reform	36
San Angelo TX	661	police reform	29
San Antonio TX	641	police reform	33
San Diego CA	825	police reform	38
San Francisco-Oakland-San Jose CA	807	police reform	37
Santa Barbara-Santa Maria-San Luis Obispo CA	855	police reform	40
Savannah GA	507	police reform	38
Seattle-Tacoma WA	819	police reform	52
Sherman TX-Ada OK	657	police reform	30
Shreveport LA	612	police reform	31
Sioux City IA	624	police reform	26
Sioux Falls(Mitchell) SD	725	police reform	27
South Bend-Elkhart IN	588	police reform	32
Spokane WA	881	police reform	51
Springfield MO	619	police reform	34
Springfield-Holyoke MA	543	police reform	86
St. Joseph MO	638	police reform	0
St. Louis MO	609	police reform	44
Syracuse NY	555	police reform	72
Tallahassee FL-Thomasville GA	530	police reform	50
Tampa-St. Petersburg (Sarasota) FL	539	police reform	31
Terre Haute IN	581	police reform	42
Toledo OH	547	police reform	33
Topeka KS	605	police reform	40
Traverse City-Cadillac MI	540	police reform	31
Tri-Cities TN-VA	531	police reform	29
Tucson (Sierra Vista) AZ	789	police reform	35
Tulsa OK	671	police reform	27
Twin Falls ID	760	police reform	0
Tyler-Longview(Lufkin & Nacogdoches) TX	709	police reform	35
Utica NY	526	police reform	64
Victoria TX	626	police reform	0
Waco-Temple-Bryan TX	625	police reform	34
Washington DC (Hagerstown MD)	511	police reform	70
Watertown NY	549	police reform	63
Wausau-Rhinelander WI	705	police reform	30
West Palm Beach-Ft. Pierce FL	548	police reform	34
Wheeling WV-Steubenville OH	554	police reform	21
Wichita Falls TX & Lawton OK	627	police reform	27
Wichita-Hutchinson KS	678	police reform	28
Wilkes Barre-Scranton PA	577	police reform	38
Wilmington NC	550	police reform	34
Yakima-Pasco-Richland-Kennewick WA	810	police reform	49
Youngstown OH	536	police reform	35
Yuma AZ-El Centro CA	771	police reform	36
Zanesville OH	596	police reform	0
